customer_id,email,country,age,signup_date,plan_type,monthly_revenue,is_churned,churn_date,acquisition_channel,device_type,preferred_genres,activity_level
CUST_000000,johnsonjoshua@example.org,CU,26,2025-08-19,basic,9.99,False,,referral,mobile,Thriller|Documentary|War|Mystery,high
CUST_000001,rhodespatricia@example.org,UA,42,2025-11-03,basic,9.99,False,,social,desktop,Family|Crime|Western,medium
CUST_000002,johnsonjeffery@example.net,UY,40,2025-03-03,standard,15.49,False,,paid_search,smart_tv,War|News|Horror,low
CUST_000003,jennifermiles@example.com,GN,57,2024-04-30,premium,22.99,True,2024-08-16,paid_search,mobile,Adventure|Family,medium
CUST_000004,lisa02@example.net,NO,28,2025-03-24,standard,15.49,False,,tv_ad,gaming_console,Family|Crime|Music|Sci-Fi & Fantasy,high
CUST_000005,eric51@example.org,MU,37,2024-12-30,premium,22.99,False,,tv_ad,desktop,Comedy|Soap,medium
CUST_000006,melanie94@example.org,ZA,58,2024-06-24,standard,15.49,False,,paid_search,smart_tv,Mystery|Thriller,high
CUST_000007,dudleynicholas@example.net,KE,45,2025-04-01,premium,22.99,False,,social,smart_tv,Action|Soap|Thriller|Romance,medium
CUST_000008,barbara10@example.net,GT,41,2026-01-14,premium,22.99,False,,referral,mobile,History|Kids,low
CUST_000009,tracie31@example.com,IT,47,2025-12-01,standard,15.49,False,,referral,gaming_console,Science Fiction|Sci-Fi & Fantasy|Action|Horror,high
CUST_000010,francisco53@example.net,IQ,33,2025-03-28,standard,15.49,False,,referral,gaming_console,Mystery|Sci-Fi & Fantasy,high
CUST_000011,lynchgeorge@example.net,HN,31,2025-10-07,premium,22.99,False,,social,tablet,War|Kids|Western,low
CUST_000012,ogray@example.net,TH,30,2024-08-14,standard,15.49,False,,organic,mobile,Music|Sci-Fi & Fantasy|Horror|War,medium
CUST_000013,megan03@example.org,KW,49,2024-09-27,premium,22.99,False,,referral,smart_tv,Fantasy|Adventure|Music|Kids,high
CUST_000014,carl95@example.org,TD,41,2025-02-15,basic,9.99,False,,referral,gaming_console,Music|Adventure|Comedy,high
CUST_000015,pwilkerson@example.com,CV,37,2025-05-02,premium,22.99,False,,social,mobile,Horror|Western|Talk|Music,medium
CUST_000016,johnhoffman@example.com,AE,62,2024-11-01,basic,9.99,False,,paid_search,mobile,Soap|News|Horror,high
CUST_000017,zhurst@example.com,GN,36,2025-07-08,basic,9.99,False,,organic,mobile,News|Thriller|Fantasy,medium
CUST_000018,ddavis@example.org,DE,26,2024-07-26,standard,15.49,False,,social,smart_tv,Comedy|War,high
CUST_000019,laurahenderson@example.org,MV,18,2025-08-10,basic,9.99,False,,tv_ad,tablet,Drama|Science Fiction|Fantasy|Kids,low
CUST_000020,jrice@example.org,KZ,48,2025-01-31,standard,15.49,False,,organic,smart_tv,Action & Adventure|Romance|Sci-Fi & Fantasy,high
CUST_000021,maldonadoamanda@example.com,BA,54,2025-10-21,standard,15.49,False,,social,smart_tv,Science Fiction|Documentary|Romance|Drama,low
CUST_000022,cartereric@example.org,WS,46,2024-12-30,basic,9.99,True,2025-09-12,social,gaming_console,Action|Adventure|Fantasy,medium
CUST_000023,teresa28@example.org,YE,31,2026-02-19,standard,15.49,False,,paid_search,tablet,Romance|Action|News|Soap,high
CUST_000024,ericfarmer@example.net,SM,18,2024-11-27,premium,22.99,True,2025-07-24,referral,gaming_console,Action & Adventure|Horror,low
CUST_000025,georgetracy@example.org,ML,47,2026-03-24,standard,15.49,False,,organic,mobile,Comedy|Music,medium
CUST_000026,john39@example.org,BS,32,2026-02-21,standard,15.49,False,,paid_search,tablet,Thriller|Documentary|Family|History,low
CUST_000027,wcabrera@example.net,CN,54,2025-10-30,basic,9.99,True,2026-04-25,referral,smart_tv,Comedy|Action,medium
CUST_000028,karroyo@example.com,SM,23,2024-07-18,standard,15.49,False,,tv_ad,smart_tv,Animation|Sci-Fi & Fantasy|Reality|Horror,medium
CUST_000029,ibrandt@example.net,FM,54,2026-02-16,standard,15.49,False,,tv_ad,smart_tv,Sci-Fi & Fantasy|War|Mystery|Adventure,high
CUST_000030,raymond57@example.net,PG,46,2024-09-13,premium,22.99,False,,social,mobile,Romance|Fantasy|Action & Adventure|Kids,medium
CUST_000031,jeffreymorgan@example.net,TG,38,2024-07-12,premium,22.99,False,,organic,mobile,Mystery|Kids|Talk,medium
CUST_000032,adrianzimmerman@example.org,GT,53,2024-10-05,standard,15.49,False,,organic,desktop,Comedy|Documentary|Animation,high
CUST_000033,heathchad@example.org,IT,70,2024-06-01,basic,9.99,False,,organic,gaming_console,Soap|Fantasy|Animation,high
CUST_000034,ilewis@example.net,TO,49,2025-09-11,standard,15.49,False,,referral,smart_tv,Reality|Talk,high
CUST_000035,esanchez@example.com,ET,49,2025-07-01,basic,9.99,False,,organic,smart_tv,Comedy|Crime,high
CUST_000036,hopkinsmichael@example.com,PT,18,2024-06-22,premium,22.99,False,,tv_ad,desktop,Music|Action & Adventure,medium
CUST_000037,nuneztracey@example.org,BH,27,2026-02-09,basic,9.99,False,,referral,tablet,Crime|Soap,high
CUST_000038,lauren13@example.org,ET,42,2025-02-16,premium,22.99,False,,paid_search,gaming_console,Kids|Adventure|Crime,medium
CUST_000039,ltaylor@example.com,PL,44,2025-05-31,premium,22.99,False,,social,gaming_console,Mystery|Sci-Fi & Fantasy,high
CUST_000040,ramosmichelle@example.net,BZ,60,2024-10-21,standard,15.49,False,,referral,mobile,News|Comedy|Thriller,medium
CUST_000041,novaksara@example.org,DM,47,2024-05-19,standard,15.49,False,,social,mobile,Western|Horror|Fantasy,medium
CUST_000042,zolson@example.org,DM,65,2025-02-19,premium,22.99,False,,referral,desktop,Adventure|Fantasy|History,low
CUST_000043,gallowayjoseph@example.com,JO,39,2025-01-29,standard,15.49,False,,organic,desktop,Drama|Kids|Romance|Reality,high
CUST_000044,smoore@example.org,BG,59,2025-03-04,basic,9.99,False,,paid_search,smart_tv,War|News|Drama,medium
CUST_000045,adkinsbrian@example.net,QA,23,2025-07-03,standard,15.49,False,,social,gaming_console,Western|Action|Music,medium
CUST_000046,brianromero@example.org,BJ,22,2025-05-05,standard,15.49,False,,paid_search,tablet,Music|Fantasy|Kids|Horror,low
CUST_000047,leonardjoe@example.org,TN,24,2025-07-16,basic,9.99,False,,referral,mobile,Soap|Fantasy|Science Fiction,high
